tempo,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,rms,chroma_stft,onset_strength_mean,onset_strength_std,pitch_variance,spectral_flux_std,mfcc1_mean,mfcc1_std,mfcc2_mean,mfcc2_std,mfcc3_mean,mfcc3_std,mfcc4_mean,mfcc4_std,mfcc5_mean,mfcc5_std,mfcc6_mean,mfcc6_std,mfcc7_mean,mfcc7_std,mfcc8_mean,mfcc8_std,mfcc9_mean,mfcc9_std,mfcc10_mean,mfcc10_std,mfcc11_mean,mfcc11_std,mfcc12_mean,mfcc12_std,mfcc13_mean,mfcc13_std,label,song_id,segment_type
140.625,3155.4013003358777,3505.616623629595,6743.451164237469,0.05976541670369712,0.17676176,0.40153608,1.3979838,1.7200906,0.09540713,1.7200906,-175.15605,90.00375,128.87825,37.901775,-14.233758,20.0823,57.959263,21.9661,-5.540299,22.397419,35.289326,20.773481,-13.682584,17.71739,6.594906,15.568136,-7.0824485,14.4951515,3.4641361,11.798267,-5.1977086,11.800679,-4.5731854,10.1764965,1.1829062,9.940129,Vallenato,Jose Carrascal - Como Duele El Frio.mp3,inicio
144.23076923076923,3213.328268151888,3507.03650862574,6884.226137575542,0.07133888003243868,0.20755477,0.31762975,1.4134394,1.5475821,0.089779615,1.5475821,-139.34633,64.80556,132.48587,29.240322,-22.878143,20.08395,55.1279,18.886206,-11.319423,19.265957,30.426668,18.650787,-17.693602,15.694574,6.763549,16.407951,-12.603961,12.0596,12.095921,10.543764,-4.728733,11.399025,-3.43839,9.680881,4.272985,10.252098,Vallenato,Jose Carrascal - Como Duele El Frio.mp3,mitad
140.625,3506.1356403210007,3881.8607004653295,8020.24084607181,0.06476782599760042,0.12056097,0.45744386,1.1889291,1.5347524,0.09323876,1.5347524,-244.513,138.21567,99.29028,42.60192,-0.7952402,18.530182,55.172646,22.699411,6.4882116,22.968739,37.305687,20.154669,-13.020454,17.330988,11.196542,11.557573,-2.246583,12.375866,5.190339,9.591031,-4.8010345,9.903723,2.310814,7.8246384,3.7565482,9.018738,Vallenato,Jose Carrascal - Como Duele El Frio.mp3,final
106.13207547169812,1218.4589571531565,1727.177589068068,2264.472427124067,0.029934956007820833,0.057679754,0.35224226,0.7882076,0.86911213,0.089631796,0.86911213,-343.981,79.1656,211.45856,39.096535,11.003514,35.24782,4.1897006,25.437626,0.381494,24.277937,12.074633,12.789541,4.577129,12.223274,4.690924,10.289557,-0.33167785,8.447622,-0.014511222,8.998346,-4.5262046,9.687932,-3.235842,7.369473,-1.6353798,8.995258,Vallenato,Felipe Pelaez - Cuando Quieras Quiero.mp3,inicio
108.17307692307692,1376.386515260753,1841.3219335573235,2601.4125266619267,0.033015484747156064,0.1064677,0.3451406,0.8270191,0.7134515,0.082585484,0.7134515,-257.2608,85.889824,203.95268,34.647175,0.5821437,34.77756,12.4121895,26.863949,-6.7078896,22.975994,11.723612,13.3047495,6.927449,11.392592,2.3553946,9.222778,1.2375263,8.717673,0.89886296,9.183265,-3.056041,8.695364,-2.189327,7.418135,-1.9613336,8.530977,Vallenato,Felipe Pelaez - Cuando Quieras Quiero.mp3,mitad
125.0,1945.1943024376114,2397.3957820484034,3694.77648418059,0.04148515958274085,0.16372432,0.35707048,0.95982814,0.56202227,0.099552535,0.56202227,-192.4145,83.93028,166.96837,35.87646,-20.374529,30.462168,11.428415,21.82567,-16.684284,19.227573,11.498642,13.608515,2.7901382,9.013618,3.9282863,9.574306,2.559641,14.282381,10.555673,10.089789,5.7940598,7.6167893,4.623237,7.699521,7.0345106,9.924636,Vallenato,Felipe Pelaez - Cuando Quieras Quiero.mp3,final
133.92857142857142,2833.0028478649047,3279.3077276524964,6187.891597049414,0.05790064405216851,0.11852645,0.4540857,1.148798,1.07903,0.09246273,1.07903,-220.13216,111.44797,128.65016,35.695255,-17.175703,29.85788,54.16937,23.983315,-9.340052,23.562029,31.920534,18.301226,-10.080958,16.858068,11.337406,11.760352,-5.9293156,15.297887,3.8377984,10.003867,4.677933,9.91695,-0.8981347,8.885253,10.154176,10.727634,Vallenato,Binomio de Oro - Quiero Que Seas Mi Estrella.mp3,inicio
130.8139534883721,3626.073679324473,3857.2475543321148,8083.554590295059,0.0813407477559545,0.13624327,0.45133168,1.1589884,1.078231,0.089170665,1.078231,-176.8009,53.35033,118.941414,26.75472,-21.73627,20.396467,66.01268,16.314245,-20.337576,20.15882,40.058414,16.730827,-21.488054,14.100556,16.198029,13.109991,-13.479513,14.688551,4.061706,11.685747,8.922304,10.514554,-1.6173131,9.321736,12.565736,9.632567,Vallenato,Binomio de Oro - Quiero Que Seas Mi Estrella.mp3,mitad
137.1951219512195,3484.1980673102294,3705.199037342047,7885.098204763598,0.07558152856158905,0.11145681,0.40146172,0.9736061,0.7628334,0.08780601,0.7628334,-211.68721,146.69244,118.384476,41.058464,-23.41529,25.802317,41.251568,23.376287,-21.455328,20.299341,32.664284,19.519487,-24.120922,18.956936,8.111076,13.237884,-0.70637167,13.559539,1.0118756,9.782771,0.2838676,8.048168,6.708565,10.392,12.312878,9.513278,Vallenato,Binomio de Oro - Quiero Que Seas Mi Estrella.mp3,final
127.8409090909091,2723.5142868051835,3179.589763163465,5944.826475293281,0.053366380698986846,0.187568,0.457953,1.0404577,0.8491872,0.095597476,0.8491872,-165.99927,76.617645,134.51881,32.683224,-25.77927,21.451841,63.343754,19.354725,-9.4919615,17.931068,29.525969,14.623577,-5.6598682,15.424215,5.774574,12.609747,-1.7658997,12.095022,0.51371926,9.401083,2.0001597,11.538626,0.77779037,8.452622,4.0646467,8.327042,Vallenato,Binomio de Oro - Me Vas A Extrañar.mp3,inicio
130.8139534883721,3327.757662871505,3583.9952239443733,7332.479781372201,0.06885112785504799,0.25962213,0.42110428,1.1703092,0.91874933,0.084570676,0.91874933,-86.73642,50.9469,138.67523,22.058924,-38.643444,19.137465,60.257103,14.693978,-26.374012,20.338028,36.030815,14.840412,-13.662188,16.330236,16.319345,11.503914,-5.5075207,10.318914,3.4229667,9.783659,1.5868962,8.622833,-0.978619,8.162742,6.915901,8.211804,Vallenato,Binomio de Oro - Me Vas A Extrañar.mp3,mitad
127.8409090909091,3688.4816713878986,3879.8595839033537,8283.160771418414,0.07917811139130822,0.29657984,0.42923832,1.0727147,0.6786429,0.08646139,0.6786429,-68.84856,54.785225,131.84319,21.418541,-31.196182,23.621058,62.32524,17.2252,-27.530722,21.020481,39.3233,14.048865,-22.622948,16.121397,17.302885,11.032595,-2.707111,10.212519,4.7329636,7.80407,1.3344591,9.940229,2.2364166,8.493543,6.960324,8.249975,Vallenato,Binomio de Oro - Me Vas A Extrañar.mp3,final
170.45454545454547,2078.9647006070645,2736.9466512300314,4449.758931745468,0.040286067199164596,0.12846902,0.39560735,1.1731875,1.419677,0.09610357,1.419677,-225.45854,94.314476,144.26064,36.08155,-8.392595,32.118423,43.738808,19.26379,-0.5756963,17.749365,18.996798,13.420342,4.0933065,10.951384,3.1764867,9.010706,7.502519,9.283113,-6.06733,8.519239,-0.8170013,9.809092,-6.457002,9.010887,2.7744336,9.391368,Vallenato,Kaleth Morales - Me La Juego Toda.mp3,inicio
170.45454545454547,2281.145145168141,2840.9042083854238,4844.313788659794,0.047908670403039456,0.16184843,0.38184762,1.2263669,1.2171082,0.0952296,1.2171082,-182.25345,66.42872,150.12358,20.512749,-22.077639,28.015516,49.05433,16.902615,-7.161735,17.803171,21.078968,14.792886,-1.5785547,11.072273,2.8065715,9.790963,9.77236,9.566822,-7.7328043,8.156415,0.65193087,8.983735,-3.8501747,8.474409,5.8594484,9.845055,Vallenato,Kaleth Morales - Me La Juego Toda.mp3,mitad
170.45454545454547,2010.5764987569532,2305.9950394962766,4412.323920191966,0.044538436222449344,0.07840441,0.27086082,0.71571255,0.8270842,0.09890578,0.8270842,-309.1556,147.08954,83.95586,62.74195,-13.369313,25.0031,18.878506,20.272825,-6.7405224,15.834348,12.31964,14.563032,-0.2794901,8.511998,-1.1321483,9.956757,9.924609,10.472291,-2.2818332,8.122817,-1.2457436,7.4200788,2.220759,7.9135966,5.69343,9.464843,Vallenato,Kaleth Morales - Me La Juego Toda.mp3,final
148.02631578947367,2406.320998361027,3088.0642585223995,5325.903172769285,0.0387752246822787,0.13680102,0.45513633,1.2736772,1.5300894,0.09079983,1.5300894,-229.1821,78.572495,131.74782,29.27159,0.9514248,20.298378,61.982914,19.78499,-1.5371768,22.537632,24.057701,19.357323,-2.7498734,17.135727,12.268572,10.97061,3.579706,12.599158,10.075769,12.09896,11.325555,12.832021,1.9733101,10.845615,-0.077442616,9.850599,Vallenato,Luis Mateus - Quiereme.mp3,inicio
148.02631578947367,2850.993534807853,3377.3783286886746,6334.090606114469,0.05039989418547814,0.15108338,0.4531437,1.2524925,1.3145831,0.09247111,1.3145831,-184.99504,55.369267,130.73096,23.733849,-13.99125,17.886446,56.95198,19.319407,-10.614552,19.146349,28.271599,18.434612,-1.753238,15.691725,17.741495,12.141438,4.5439944,10.632857,3.4490972,11.931673,5.4432755,12.534556,-0.14368583,11.193669,8.049638,13.689446,Vallenato,Luis Mateus - Quiereme.mp3,mitad
98.6842105263158,2541.013063539355,3156.616955347214,5773.940188410949,0.04425845127532883,0.10626974,0.44969332,1.0299634,1.1411905,0.09559428,1.1411905,-274.84888,142.62646,119.28847,55.774162,-1.8059932,22.797014,46.630222,25.429491,-3.4403124,20.725937,23.796875,20.080803,-6.626886,15.086545,10.137175,11.656218,6.8403563,10.3789015,0.9184011,8.824562,1.4511003,8.9088955,4.683931,9.957765,6.1582956,8.697467,Vallenato,Luis Mateus - Quiereme.mp3,final
106.13207547169812,2350.1224309000177,3203.6632100466827,5319.0627221827235,0.03721577969472094,0.13448827,0.42349663,1.2239687,1.3605685,0.090514794,1.3605685,-211.29875,88.38344,147.1537,24.194614,-7.368833,24.826208,49.297096,17.968796,-0.6390937,18.561216,34.949883,16.18472,-10.676247,14.418812,10.043773,16.23658,-3.6099193,11.204125,-3.4098258,10.826856,0.26441517,9.489548,5.6339073,9.192676,8.548311,11.510744,Vallenato,Kaleth Morales - Ella Es Mi Todo.mp3,inicio
