genero,artista_nombre,artista_id,imagen_artista,cancion_nombre,cancion_id,duracion_ms,es_explicito,imagen_album
jazz,Olivia Dean,00x1fYSGhdqScXBRpSj3DW,https://i.scdn.co/image/ab6761610000e5eb5c7577ad44daeb7ce4b941a1,Man I Need,1qbmS6ep2hbBRaEZFpn7BX,184000,False,https://i.scdn.co/image/ab67616d0000b273e3d69e17dde129037a1f09e2
jazz,Carlos Santana,0MsXN56oNCyqorqEPViWgQ,https://i.scdn.co/image/ab6772690000c46c5df8057e59390ae22975c750,Necio (feat. Carlos Santana),3DKWF8is9hzp84aSxnhlag,264266,False,https://i.scdn.co/image/ab67616d0000b273e0e4b48b060715c9aa7fca18
clasica,Johann Sebastian Bach,5aIqB5nVVvmFsvSdExz408,https://i.scdn.co/image/a2ec08fe69ecec2748fbc764aede8f1b03ae8f88,"Cello Suite No. 1 in G Major, BWV 1007: I. Prélude",17i5jLpzndlQhbS4SrTd0B,152280,False,https://i.scdn.co/image/ab67616d0000b273cbb64bd416bb225456100bbc
clasica,Johann Sebastian Bach,5aIqB5nVVvmFsvSdExz408,https://i.scdn.co/image/a2ec08fe69ecec2748fbc764aede8f1b03ae8f88,"Orchestral Suite No. 3 in D Major, BWV 1068: II. Air ""on the G String""",6pt8oGfiwgidz03nGw1zTb,360493,False,https://i.scdn.co/image/ab67616d0000b273d90353975ad1e31daf54a500
clasica,Wolfgang Amadeus Mozart,4NJhFmfw43RLBLjQvxDuRS,https://i.scdn.co/image/ab6761610000e5eb7fa9108c6dadb8c3ec21da88,"Piano Concerto No. 21 in C Major, K. 467: II. Andante",2ymiJPCDEknHRbIzEze0Dd,433666,False,https://i.scdn.co/image/ab67616d0000b2732fd91a182ca505014f1f1c81
clasica,Wolfgang Amadeus Mozart,4NJhFmfw43RLBLjQvxDuRS,https://i.scdn.co/image/ab6761610000e5eb7fa9108c6dadb8c3ec21da88,"Requiem In D Minor, K. 626: Sequence: VI. Lacrimosa Dies Illa",08B8Ki7qlUoT58Zd1trxkl,198666,False,https://i.scdn.co/image/ab67616d0000b2731c72ad5458bcc5d5650e3093
clasica,Ludwig van Beethoven,2wOqMjp9TyABvtHdOSOTUS,https://i.scdn.co/image/ab6761610000e5eba636b0b244253f602a629796,Claro De Luna,4vbpZcq2I1Q52hkKQRMUwc,230346,False,https://i.scdn.co/image/ab67616d0000b273db5e2e36292dc2433478bcd2
clasica,Ludwig van Beethoven,2wOqMjp9TyABvtHdOSOTUS,https://i.scdn.co/image/ab6761610000e5eba636b0b244253f602a629796,"Piano Sonata No. 14 in C-Sharp Minor, Op. 27 No. 2 ""Moonlight"": I. Adagio sostenuto",40gRh2ZURv5tYBo8yB9Lu3,315426,False,https://i.scdn.co/image/ab67616d0000b273e8580303c8c1e369c643fcb7
clasica,Frédéric Chopin,7y97mc3bZRFXzT2szRM4L4,https://i.scdn.co/image/ab6761610000e5ebe55372097569b7b56b439365,"Chopin: Nocturne No. 20 in C-Sharp Minor, Op. Posth.",2MSgFefjK0T7Iwjvr3OKqV,266200,False,https://i.scdn.co/image/ab67616d0000b273ae4dfa09519c27b64cd5a958
clasica,Frédéric Chopin,7y97mc3bZRFXzT2szRM4L4,https://i.scdn.co/image/ab6761610000e5ebe55372097569b7b56b439365,"Nocturne No. 2 in E-Flat Major, Op. 9 No. 2",1VNvsvEsUpuUCbHpVop1vo,273666,False,https://i.scdn.co/image/ab67616d0000b27355c82855070525581e2c6fee
